AoA,AoA_mod,Cl,Cd,Cm
0.0,0.24325090777370542,-0.0433758389367792,0.017266212135272418,-0.2927462004957097
1.01,0.9492235939385856,0.0108374830935006,0.01705898600505854,0.15766663996129962
2.01,1.606307552447705,0.0719853370549902,0.01709409722265969,0.5030867043972465
3.01,2.2090261119242545,0.1428274808086654,0.01841357968730166,0.2931919580547256
4.01,2.7186871676064848,0.2302633850271368,0.019748723429328513,-0.3083421204258424
5.01,3.29335757192578,0.3061069993681557,0.02027940661028689,-0.5399067457923776
6.01,3.9701150328310906,0.363746727999016,0.021200613762353493,-0.4149291627152286
7.01,4.676145337118555,0.41616660297594,0.02193532505490793,-0.2077087023583153
8.01,5.331842075724881,0.477561822209873,0.02337245363555124,0.07283630432748771
9.01,6.020072063797695,0.5331558010625723,0.024257901408693064,0.3207483499942411
10.01,6.720057911952553,0.586653506983964,0.025870512846590702,0.5773809752032879
11.01,7.423212767638887,0.6395861241189141,0.027949521553053844,0.8388696071501545
12.01,8.136854311538428,0.6906487835913033,0.03111296121052478,1.140562543805602
13.01,8.89497948726877,0.7337792430679138,0.03556512480612745,1.387678525493788
14.01,9.646249954288042,0.7781320155205828,0.04048213091423456,1.655065579527355
15.01,10.451802030729992,0.8128054393159486,0.050267636697473944,1.8493623043352678
16.01,11.66847257812351,0.7741693378020825,0.12724513111206687,-2.150974255777665
17.01,12.69756990684515,0.7689807814440751,0.1587717779164444,-3.7745246718501493
18.01,14.972915388670714,0.5415646508540188,0.19608033655191293,-6.509904889233331
19.01,16.026004227492134,0.532097993799646,0.2076824611424979,-6.417327968081763
20.01,16.946373632944265,0.5462975044002869,0.22238356324637276,-6.725803847045519
